"","school","conference","school_id","year","division","conference_id"
"472","Cabrini","Atlantic East",88,2020,3,30233
"473","Cairn","CSAC",1305,2020,3,21062
"474","Catholic","Landmark",124,2020,3,30101
"475","Centenary (NJ)","CSAC",12884,2020,3,21062
"476","Clarks Summit","CSAC",958,2020,3,21062
"477","Delaware Valley","MAC Freedom",179,2020,3,28745
"478","DeSales","MAC Freedom",20,2020,3,28745
"479","Dickinson","Centennial",185,2020,3,9683
"480","Drew","Landmark",190,2020,3,30101
"481","Eastern","MAC Freedom",8968,2020,3,28745
"482","Elizabethtown","Landmark",211,2020,3,30101
"483","FDU-Florham","MAC Freedom",221,2020,3,28745
"484","Franklin & Marshall","Centennial",239,2020,3,9683
"485","Gettysburg","Centennial",258,2020,3,9683
"486","Gwynedd Mercy","Atlantic East",12399,2020,3,30233
"487","Haverford","Centennial",276,2020,3,9683
"488","Hood","MAC Commonwealth",8404,2020,3,28744
"489","Immaculata","Atlantic East",303,2020,3,30233
"490","Johns Hopkins","Centennial",322,2020,3,9683
"491","Juniata","Landmark",325,2020,3,30101
"492","Kean","NJAC",329,2020,3,891
"493","Keystone","CSAC",30047,2020,3,21062
"494","King's (PA)","MAC Freedom",336,2020,3,28745
"495","Lancaster Bible","NEAC",30085,2020,3,30071
"496","Lebanon Valley","MAC Commonwealth",351,2020,3,28744
"497","Manhattanville","Skyline",382,2020,3,13054
"498","Marywood","Atlantic East",397,2020,3,30233
"499","McDaniel","Centennial",773,2020,3,9683
"500","Messiah","MAC Commonwealth",411,2020,3,28744
"501","Misericordia","MAC Freedom",16142,2020,3,28745
"502","Montclair St.","NJAC",442,2020,3,891
"503","Moravian","Landmark",443,2020,3,30101
"504","Muhlenberg","Centennial",453,2020,3,9683
"505","Neumann","Atlantic East",1254,2020,3,30233
"506","New Jersey City","NJAC",319,2020,3,891
"507","Penn College","NEAC",30190,2020,3,30071
"508","Penn St.-Abington","NEAC",30114,2020,3,30071
"509","Penn St.-Berks","NEAC",30044,2020,3,30071
"510","Penn St. Harrisburg","NEAC",30081,2020,3,30071
"511","Ramapo","NJAC",564,2020,3,891
"512","Rowan","NJAC",259,2020,3,891
"513","Rutgers-Camden","NJAC",588,2020,3,891
"514","Rutgers-Newark","NJAC",589,2020,3,891
"515","Scranton","Landmark",633,2020,3,30101
"516","Stevenson","MAC Commonwealth",21852,2020,3,28744
"517","Stockton","NJAC",681,2020,3,891
"518","Susquehanna","Landmark",685,2020,3,30101
"519","Swarthmore","Centennial",686,2020,3,9683
"520","TCNJ","NJAC",712,2020,3,891
"521","Ursinus","Centennial",730,2020,3,9683
"522","Valley Forge","CSAC",30166,2020,3,21062
"523","Washington Col.","Centennial",753,2020,3,9683
"524","Widener","MAC Commonwealth",783,2020,3,28744
"525","Wilkes","MAC Freedom",784,2020,3,28745
"526","Wm. Paterson","NJAC",787,2020,3,891
"527","Wilson","CSAC",12973,2020,3,21062
"528","Adrian","Michigan Intercol. Ath. Assn.",4,2020,3,873
"529","Albion","Michigan Intercol. Ath. Assn.",15,2020,3,873
"530","Alfred St.","AMCC",30170,2020,3,30022
"531","Allegheny","NCAC",19,2020,3,897
"532","Alma","Michigan Intercol. Ath. Assn.",21,2020,3,873
"533","Anderson (IN)","HCAC",939,2020,3,9174
"534","Baldwin Wallace","OAC",46,2020,3,901
"535","Bethany (WV)","PAC",59,2020,3,907
